employee_id,Name,Address,Salary,DOJ,DOB,Age,Sex,Dependents,HRA,DA,PF,Gross Salary,Insurance,Marital Status,In Company Years,Year of Experience,Department,Position
13,TNOqMntI,"xPZmWZXy St, vbVuwQQynw, KOL 996770",137839.33,1993-01-10,1964-02-05,60,Male,1,4807.067000000000,32531.423381995100,20444.490405839400,154733.3299761560,Medical,Married,31,39,Marketing,National Marketing Manager
14,YEzLYCDP,"dFNERDKi St, jWEHbKUscN, KOL 785625",112335.02,1999-09-25,1968-12-05,55,Female,1,12857.498,26512.158004866200,16661.66136058390,135043.01464428200,Life,Married,24,34,Finance,Account Director
15,dTYeJIMp,"uxCvqweZ St, cjbgwWkfII, MUB 484886",61292.38,2022-09-01,1998-08-20,25,Female,3,7180.762,14465.598199513400,9090.957383941600,73847.78281557180,Both,Married,1,4,Sales,Sales Representative
16,WblJTjKQ,"zXJyzhSA St, lwDImiwBuY, MUB 832618",54536.79,2023-06-01,1999-04-05,25,Other,0,5682.321,12871.213211678800,8088.96038540146,65001.363826277400,Medical,Single,1,4,IT,Software Engineer II
17,YoIurhqK,"cwoNaCzs St, FahGyBPTBS, HYD 843200",125585.83,1989-11-04,1968-04-13,56,Other,4,7708.4170000000000,29639.478126520700,18627.03697518250,144306.6881513380,Medical,Married,34,35,Finance,National Account Head
18,OYqIOSgW,"ohQMGTOK St, teOUKLFQoc, HYD 193934",110283.78,2002-09-06,1976-06-20,48,Other,1,13271.622,26028.045401459800,16357.419048175200,133226.02835328500,Both,Married,21,27,Sales,National Sales Manager
19,rsCEIoFW,"fEuEweIc St, tVHEqrUgRg, MUB 175099",87870.25,2020-04-18,1987-01-24,37,Female,1,4947.975,20738.234184914800,13033.01810218980,100523.44108272500,None,Married,4,16,Human Resources,Senior HR
20,keBeAdyB,"yShYbjuQ St, QineuRUlHw, AMD 905299",124569.61,2010-10-27,1974-04-13,50,Female,1,10641.039000000000,29399.640316301700,18476.310037956200,146133.9792783460,Life,Divorced,13,29,Marketing,National Marketing Manager
21,wWrngMod,"nqyFJlmb St, xIkJEmrTce, MUB 172623",144338.76,2018-10-24,1971-06-14,53,Other,3,8005.124000000000,34065.352116788300,21408.4934540146,165000.74266277400,Medical,Married,5,32,Finance,National Account Head
22,Donbudcg,"GziMwnXj St, iKxDKBPWat, PUN 182853",126983.96,2011-05-28,1972-04-22,52,Male,2,10845.604,29969.450413625300,18834.409249635000,148964.6051639900,Both,Widowed,13,31,Marketing,National Marketing Manager
23,cBcpuWQy,"rwecAngY St, bFZxVIqYMp, CHN 115558",85553.77,2023-06-11,1990-10-20,33,Male,4,9354.623,20191.52236009730,12689.435083211700,102410.48027688600,None,Married,1,12,Human Resources,ERP Head
24,VrwdfHZs,"TtquVXrb St, UlCtCDzYeN, KOL 674910",79408.29,2010-06-19,1978-03-20,46,Female,4,5769.171,18741.129270073000,11777.930312408800,92140.65995766420,Medical,Married,14,25,Finance,Senior Account Executive
25,DSBBGaaE,"PCCoKGZj St, OkxtCRCEpG, PUN 748220",76946.32,2015-02-19,1977-12-19,46,Female,2,10251.368000000000,18160.080389294400,11412.768046715300,93945.0003425791,Life,Widowed,9,25,Marketing,Regional Marketing Manager
26,dRECiNOs,"SPnhEOug St, DwWEIdgGPa, HYD 778707",88732.5,2010-04-01,1983-01-13,41,Other,2,8334.75,20941.73357664230,13160.90802919710,104848.07554744500,Medical,Divorced,14,20,Marketing,Senior Marketing Executive
27,wJmguwBV,"llSHbDcL St, KEiTpwFNtA, KOL 530613",126765.3,2014-03-01,1975-12-09,48,Female,1,5459.470000000000,29917.844525547400,18801.977343065700,143340.63718248200,Both,Married,10,27,Marketing,National Marketing Manager
28,kksePyxW,"ausxCVIS St, SwGLigVXIQ, HYD 377530",87615.28,2022-04-12,1985-09-02,38,Male,4,7237.472,20678.05878345500,12995.200654014600,102535.61012944000,Both,Married,2,17,Human Resources,Senior HR
29,PpYXKeAt,"oefEGXDy St, TLCLjzMlMc, BLR 908132",133741.54,2022-06-18,1970-05-02,54,Other,2,6010.846000000000,31564.305060827200,19836.701407299300,151479.98965352800,Medical,Married,2,33,Human Resources,HR Director
30,nvPJxUPG,"ByVLsdGA St, AFCxaNwORm, MUB 729149",48033.77,2019-01-11,1994-09-12,29,Female,0,5379.6230000000000,11336.437201946500,7124.424864233580,57625.40533771290,Life,Single,5,8,Sales,Sales Representative
31,tdpUAGwI,"aMUdzjpd St, GvozLitKxV, MUB 737307",138742.41,1993-09-22,1971-02-27,53,Male,4,9460.759000000000,32744.559051094900,20578.436286131400,160369.29176496300,Both,Married,30,32,Human Resources,HR Director
32,EpolrTHA,"guYgwZPG St, MGWVFnbuif, DEL 639512",18488.03,2023-06-20,2001-02-13,23,Male,0,6900.197,4363.355012165450,2742.1662014598500,27009.415810705600,Life,Single,1,2,Marketing,Marketing Intern
33,siHwHrLM,"VPtRPBhA St, JxRpbdxMNc, MUB 564520",86009.96,2005-06-15,1978-06-02,46,Female,2,6918.004000000000,20299.187639902700,12757.097716788300,100470.05392311400,None,Widowed,19,25,IT,QA Lead
34,tAoxCwXO,"UwyafFUm St, qubhZiWcOS, AMD 956551",87541.8,2018-07-04,1992-05-06,32,Other,2,9195.82,20660.716788321200,12984.30201459850,104414.03477372300,Medical,Married,6,11,Finance,Regional Account Head
35,ndheFFHg,"WobmQMjQ St, hkfEUGpRmp, MUB 377085",106180.52,2022-10-11,1977-07-26,46,Female,1,11506.948000000000,25059.636107056000,15748.818732846700,126998.28537420900,None,Married,1,25,Finance,Senior Account Executive
36,VaIQIsuM,"PCxQcPNK St, FUTYGoyhyM, MUB 454358",50564.32,2022-11-08,1998-05-05,26,Other,3,6153.568000000000,11933.671630170300,7499.758995620440,61151.80063454990,Medical,Married,1,5,IT,QA Engineer II
37,onEwmWrV,"kMpKYuWh St, HJcnzgxhGw, CHN 888328",104315.31,2007-01-24,1983-12-26,40,Other,2,8841.469,24619.428394160600,15472.168607299300,122304.03878686100,None,Married,17,19,IT,QA Lead
38,ugcjDsMi,"wngnjPut St, tzPAYYldxZ, HYD 911795",88768.6,2016-12-07,1989-08-20,34,Female,3,8260.14,20950.25352798050,13166.262423357700,104812.73110462300,Medical,Married,7,13,IT,Software Engineer III
39,ZGwTJURK,"ycMNhqYZ St, UzNRGuJvva, CHN 399884",50631.08,2021-08-06,1994-03-07,30,Other,0,6451.892,11949.427639902700,7509.660916788320,61522.73872311440,Medical,Single,2,9,IT,Software Engineer II
40,YRAUcmSr,"pnceyPHA St, eLLaTwnLjg, PUN 765762",131994.9,2022-08-11,1964-03-27,60,Female,2,6225.51,31152.0810218978,19577.637722627700,149794.8532992700,Life,Married,1,39,Finance,Account Director
41,NhwYjoCe,"jaRztHNN St, sfHlTgsMQl, MUB 478329",50001.36,2019-06-01,1995-08-18,28,Male,0,7635.864,11800.807591240900,7416.260110948910,62021.771480292000,Life,Single,5,7,Finance,Account Associate
42,QAOMnzAM,"dKTTyekS St, kalFEGpCsp, CHN 401011",115218.91,2011-08-23,1974-05-22,50,Male,3,13183.109000000000,27192.784111922100,17089.403293430700,138505.39981849100,Life,Married,12,29,IT,Technical Lead
43,CNoDvhfd,"QpAClyAa St, UNkLTyyoJW, CHN 598229",98790.47,2013-08-08,1990-08-24,33,Male,2,3643.9530000000000,23315.512384428200,14652.717886131400,111097.21749829700,Medical,Married,10,12,Human Resources,Senior HR
44,aLCNDxlu,"BrpbWrPM St, lfYLoIwNoM, CHN 592071",85099.8,2016-07-15,1990-09-14,33,Female,1,6118.020000000000,20084.381021897800,12622.101722627700,98680.09929927010,Life,Married,8,12,IT,Software Engineer III
45,ZaKaAZJY,"dWBjAMkE St, JGFRpINiBV, KOL 251186",38610.95,2022-10-10,2001-09-04,22,Male,0,6809.905000000000,9112.559975669100,5726.82119708029,48806.5937785888,None,Single,1,1,IT,Software Engineer I
46,bKjmsawK,"RCeQWxZP St, qDgqAkoHSB, HYD 481112",77048.99,2010-10-03,1978-06-01,46,Male,1,6316.101000000000,18184.31150851580,11427.996181021900,90121.40632749390,None,Married,13,25,IT,QA Lead
47,qTLXjivs,"GRhxxYeu St, qTinzwrMpB, HYD 637506",40082.81,2023-11-12,2000-07-13,24,Female,0,6789.719,9459.93326034063,5945.129191240880,50387.333069099700,Both,Single,0,3,IT,QA Engineer I
48,THRGswLa,"JycDjAbs St, mxDjucIezn, HYD 241969",93626.55,2009-03-01,1986-02-19,38,Male,1,6782.345000000000,22096.777007299300,13886.799240875900,108618.87276642300,Both,Married,15,17,Human Resources,Senior HR
49,oPgzloXp,"SmJstkWH St, WBcnvORQaZ, PUN 956459",49352.57,2023-09-09,1993-12-24,30,Male,0,5803.7430000000000,11647.686836983000,7320.030820437960,59483.969016545000,None,Single,0,9,Human Resources,HR Executive
50,EYGbSZeN,"Wmlgaujq St, KIHHQAWWJd, KOL 259039",143263.07,2011-10-02,1969-01-01,55,Other,3,8281.693,33811.47880778590,21248.945856934300,164107.29595085200,Both,Married,12,34,IT,IT Manager
51,yWKmmXug,"vyxTUxFf St, bdXssvFtux, PUN 997250",69868.22,2022-09-23,1994-10-02,29,Female,0,10179.178,16489.579902676400,10362.935988321200,86174.04191435520,Both,Single,1,8,Human Resources,HR Associate
52,ZkjXzaZF,"kbDZUUrK St, kFsBiVbTcC, PUN 658141",124943.49,2013-02-28,1971-05-09,53,Male,4,8152.651000000000,29487.87963503650,18531.76435620440,144052.2562788320,None,Married,11,32,Finance,Account Director
53,KRGeGYzy,"SpUhcpnw St, ZHfcAPSjcZ, HYD 536726",115167.88,2010-09-20,1973-02-02,51,Male,1,12030.212,27180.740535279800,17081.834464233600,137296.99807104600,Life,Married,13,30,Sales,Sales Director
54,zFjYcmol,"jqTZdEyw St, GjikaYtMhR, CHN 811166",53981.72,2017-06-03,1994-05-25,30,Male,0,4889.8280000000000,12740.21128953770,8006.631754744530,63605.127534793200,Medical,Single,7,9,Sales,Sales Executive
55,eXuriEeN,"QVTbeVTu St, OalagRdStY, CHN 179797",129257.96,2001-06-26,1971-08-03,52,Female,4,5110.204000000000,30506.13654501220,19171.69158540150,145702.6089596110,Medical,Married,23,31,Sales,National Sales Manager
56,YtZFarUJ,"qaAjRJUl St, xPapePbqYO, DEL 377302",138405.58,1997-04-24,1964-01-27,60,Female,4,10820.442000000000,32665.06389294400,20528.47726715330,161362.60862579100,Both,Married,27,39,Human Resources,HR Director
57,camSRSnS,"BwIIHNwo St, mjSQOiPiGQ, KOL 693193",76979.07,2013-11-18,1990-12-22,33,Female,4,6252.093000000000,18167.809708029200,11417.625564963500,89981.3471430657,Both,Married,10,12,Human Resources,Senior HR
58,rlpZOwFA,"mVZhUyUT St, oNRTcWhWkz, CHN 678548",112332.37,2016-04-27,1965-05-09,59,Female,4,10161.763000000000,26511.532579075400,16661.26830948910,132344.3972695860,Both,Married,8,38,Finance,National Account Head
59,wbyWtFhI,"gwRpcjwz St, nLJmnSnHzl, BLR 155979",147409.87,2001-03-22,1968-01-02,56,Male,1,5003.013000000000,34790.16396593670,21864.004075912400,165339.0428900240,Life,Widowed,23,35,Finance,National Account Head
60,DKZHcXVz,"KHqWkein St, GeisWiUmiq, DEL 593494",137727.19,2006-07-24,1964-12-19,59,Other,4,4293.281000000000,32504.957250608300,20427.85767007300,154097.57058053500,Life,Married,17,38,Marketing,Marketing Director
61,MBiDAfXf,"xuiNDVYp St, pFYQKZhtEb, BLR 364207",137011.93,2002-11-18,1976-01-16,48,Other,2,9990.807,32336.14892944040,20321.769471532800,159017.11645790800,Medical,Divorced,21,27,Finance,National Account Head
62,ebwaqOvU,"GKyMYjrx St, QePfLUiadb, CHN 840256",74583.81,2017-10-14,1996-12-05,27,Male,4,7754.619,17602.505036496300,11062.357804379600,88878.5762321168,Both,Married,6,6,Human Resources,HR Executive
63,cjlKFEEc,"XRiIhEZr St, DwvcfeYDws, CHN 126128",107556.75,2011-10-13,1984-03-17,40,Female,1,11378.325000000000,25384.43978102190,15952.942773722600,128366.57200729900,Both,Divorced,12,19,Finance,Senior Account Executive
64,aEeHOqDv,"QpPrurNU St, ViZKGIIjfl, MUB 878772",89707.98,2010-07-28,1988-01-19,36,Male,2,5859.202000000000,21171.956350365000,13305.592362043800,103433.54598832100,Life,Married,13,15,Sales,Regional Sales Manager
65,ZVukWzCY,"TiYkwUrV St, FaAXKiEQjG, DEL 551856",91466.46,2011-02-06,1979-10-11,44,Other,3,4166.354000000000,21586.97474452550,13566.412169343100,103653.37657518200,None,Married,13,23,Human Resources,ERP Head
66,WyJlyaSE,"JtMKaEsQ St, vPoyHwCZDZ, PUN 542924",93783.86,2003-05-09,1977-07-22,46,Other,4,4878.614,22133.903698296800,13910.13164379560,106886.24605450100,Medical,Married,21,25,Sales,Senior Executive
67,nqoxmfVX,"fZeBWJLt St, EeIcLacrRC, CHN 301664",95943.86,2015-05-23,1988-06-20,36,Male,1,6536.614,22643.68472019460,14230.505366423400,110893.65335377100,Both,Married,9,15,IT,QA Lead
68,ibLJELRk,"VwTQcOJA St, zmBUYLfmPP, AMD 842503",109734.44,2013-08-05,1985-02-06,39,Other,1,7288.556000000000,25898.39581508520,16275.940297810200,126645.45151727500,None,Married,10,18,Sales,Regional Sales Manager
69,OJFtcbPK,"uVfrgcLS St, KvXtZUdgMW, HYD 120054",136795.5,1996-04-27,1964-03-25,60,Female,3,6568.450000000000,32285.069343065700,20289.66832116790,155359.3510218980,None,Married,28,39,Marketing,Marketing Director
70,rcPkexTB,"tBNBEFRh St, QCjuarBiFW, AMD 703691",112095.02,2008-02-07,1973-10-09,50,Other,2,7765.498,26455.51566909980,16626.06428029200,129689.9693888080,Medical,Married,16,29,Finance,National Account Head
71,bkdbauXE,"EXvICXlY St, KPUWPPEQeT, HYD 115993",73884.08,2014-04-28,1993-08-06,30,Male,0,9772.592,17437.361946472000,10958.57303357660,90135.46091289540,Life,Single,10,9,Human Resources,HR Associate
72,kmSgplsr,"irzbnBVy St, AThIatKKlp, MUB 779287",41792.31,2024-01-19,2002-02-04,22,Male,0,6740.769,9863.391897810220,6198.684227737230,52197.78667007300,Medical,Single,0,1,IT,QA Engineer I
73,SjGtIelJ,"KCdSoQfV St, HusRZircZT, AMD 388510",89199.2,2005-04-17,1978-11-12,45,Female,,5612.08,21051.879318734800,13230.129518248200,102633.02980048700,Life,,19,24,Finance,Regional Account Head
74,ZHaEUvZA,"AUAGFgDk St, vWThnQRHIK, DEL 353492",135354.03,2004-09-09,1968-05-27,56,Male,1,11018.597,31944.868394160600,20075.86780729930,158241.62758686100,Life,Widowed,19,35,Human Resources,Recruitment Manager
75,MCONOivL,"DLovIsdg St, zzEHllVJWp, PUN 803821",142001.24,2002-11-03,1966-02-15,58,Other,1,5188.876,33513.67464720190,21061.789757664200,159642.00088953800,Both,Married,21,37,Human Resources,HR Director
76,wlQOSwYN,"CrMXScaK St, NwwqQcUmfE, BLR 710438",117850.87,2016-09-05,1967-01-21,57,Male,1,10932.913,27813.952287104600,17479.778674452600,139117.95661265200,None,Married,7,36,Finance,Account Director
77,IfXxhZyA,"sQfnbchx St, IDtGgdyorE, CHN 416490",114637.84,2006-04-26,1970-10-11,53,Male,1,13501.216,27055.64593673970,17003.218312408800,138191.4836243310,Both,Widowed,18,32,Human Resources,Recruitment Manager
78,hMCRQlQH,"abDujkZO St, SBUsMWkMhR, AMD 981437",116021.64,2006-07-27,1974-09-26,49,Male,3,12414.836,27382.236204379600,17208.465144525500,138610.247059854,None,Married,17,28,IT,IT Manager
79,WnKLmJPO,"fqMtexys St, SBdzkspPxh, AMD 707369",57634.67,2019-12-14,1998-12-27,25,Male,3,4704.533000000000,13602.343041362500,8548.441564963500,67393.10447639900,None,Married,4,4,Marketing,Marketing Representative
80,PdZJEXlp,"osrDGpEH St, XxoKIktFha, HYD 370800",88424.55,2023-03-28,1981-02-14,43,Female,4,7713.545,20869.05437956200,13115.232525547400,103891.91685401500,Life,Married,1,22,Human Resources,Senior HR
81,SXRCZruV,"fmxPHdHZ St, ZkBkvTMtjw, CHN 938584",60161.76,2021-04-08,1998-11-13,25,Female,0,9928.824,14198.760875912400,8923.26250510949,75366.08237080290,Life,Single,3,4,Human Resources,HR Associate
82,ZOSFDGQb,"WsDIOrZU St, STcJLCxlHH, PUN 155839",40915.51,2021-03-24,2000-02-16,24,Other,0,6496.449,9656.458564476880,6068.636227737230,50999.78133673970,Medical,Single,3,3,Finance,Accounts Intern
83,gICxDEyR,"VdzvxmeN St, QhrKMycjsM, DEL 728306",52990.09,2022-12-01,1993-08-01,30,Other,2,6926.991,12506.176958637500,7859.552035036500,64563.705923601000,Life,Married,1,9,Marketing,Marketing Representative
84,GNEvNSzV,"mNeAckyH St, YlJRTZRFaW, PUN 838805",79927.21,2013-01-08,1982-03-24,42,Male,1,8783.279000000000,18863.59944038930,11854.897132846700,95719.19130754260,Both,Married,11,21,IT,Software Engineer III
85,duEqiDWJ,"UCPUaDlg St, EnXIaOINAY, PUN 241355",87000.65,2019-01-09,1982-02-13,42,Female,2,8821.935,20533.000121654500,12904.038014598500,103451.54710705600,Life,Divorced,5,21,Human Resources,ERP Head
86,WByWjlRf,"zPGRguoF St, VRPvnFVRyu, CHN 519224",75625.06,2013-12-03,1987-02-14,37,Female,1,8102.494,17848.250170316300,11216.797220438000,90359.00694987840,Life,Married,10,16,Sales,Senior Executive
87,JaHwPArX,"ZDtrWmVq St, GpkFDozAAs, KOL 493708",132686.43,2005-05-03,1970-11-26,53,Male,3,5123.357,31315.288832116800,19680.206259854000,149444.86957226300,Medical,Divorced,19,32,Marketing,National Marketing Manager
88,pANfwnja,"HHyXicPO St, hMuDXjHBXV, KOL 853204",52244.0,2020-12-06,1997-04-23,27,Female,4,6292.600000000000,12330.09245742090,7748.89109489051,63117.801362530400,None,Married,3,6,Finance,Account Associate
89,MFjducyw,"BfHWvgen St, dunBPmGFyk, KOL 616248",78973.38,2013-04-14,1992-02-05,32,Other,1,9273.662,18638.48627737230,11713.423953284700,95172.10432408760,Life,Married,11,11,Marketing,Regional Marketing Manager
90,ogEMibGS,"pDAIvJxY St, tjdWVgWUyz, MUB 170501",79355.82,2011-01-07,1989-01-28,35,Other,4,6815.418000000000,18728.745839416100,11770.147900729900,93129.83593868610,Life,Married,13,14,IT,Software Engineer III
91,zHDxHGFf,"PuHfIFAq St, XYRwVavAom, BLR 497269",144551.3,1991-01-16,1970-10-24,53,Other,1,10045.87,34115.51362530410,21440.017635036500,167272.66599026800,None,Married,33,32,Human Resources,Recruitment Manager
92,OlowuOGX,"mPkuTHjR St, fxwNmcbsDu, BLR 640647",30956.96,2023-02-28,2001-11-04,22,Male,0,8939.304,7306.143844282240,4591.572461313870,42610.83538296840,Both,Single,1,1,IT,Software Engineer I
93,iHTBlAwJ,"cCEkKZhR St, WmTZlPfbUG, BLR 262037",111079.7,1993-01-28,1968-05-08,56,Female,3,11638.030000000000,26215.890267639900,16475.470832116800,132458.1494355230,Both,Divorced,31,35,Marketing,Marketing Director
94,dnAFNogc,"xXhDiVqM St, iPePJSQyOD, CHN 944028",149265.4,2014-01-12,1974-05-19,50,Other,3,3775.460000000000,35228.08710462290,22139.21845255470,166129.7286520680,Medical,Divorced,10,29,Sales,National Sales Manager
95,OJKTOLwc,"Twkpbrja St, wxoqWBVbPt, CHN 291463",79327.56,2014-08-25,1990-08-10,33,Other,2,5912.244,18722.076204379600,11765.956344525500,92195.92385985400,Medical,Married,9,12,Marketing,Senior Marketing Executive
96,xyxvYQVW,"xbzUIIdK St, hzJPEuCvCh, MUB 658433",113590.24,1999-04-21,1976-09-11,47,Female,3,7488.976000000000,26808.402141119200,16847.837056934300,131039.78108418500,Both,Married,25,26,Marketing,National Marketing Manager
97,BFpuikPW,"dQvqnLZH St, EjhMnaohie, AMD 738589",77792.89,2016-11-13,1990-07-27,33,Female,1,8877.711,18359.879148418500,11538.332297810200,93492.14785060830,None,Married,7,12,Human Resources,ERP Head
98,LdnpmkTc,"StScpkZE St, WJNXtWcfSC, BLR 915458",107838.16,2020-07-15,1989-11-01,34,Other,2,11049.184,25450.855279805300,15994.68183357660,128343.51744622900,Both,Married,4,13,Sales,Regional Sales Manager
99,eHoHmwyl,"COQlXEzq St, WBCWJEwBLC, BLR 800185",110354.59,2024-06-26,1967-07-17,57,Other,2,12051.541,26044.757250608300,16367.92167007300,132082.96658053500,None,Married,0,36,Sales,Sales Director
100,nKFdmLTF,"OnMGFAQR St, lGvikyKHPY, BLR 575222",139274.8,1996-07-07,1969-06-08,55,Male,1,7506.52,32870.20827250610,20657.40099270070,158994.1272798050,Both,Divorced,28,34,Marketing,National Marketing Manager
101,IoCLcUhC,"FISGJctP St, lFftAhjMaX, KOL 251312",146614.13,1996-10-06,1972-10-17,51,Female,3,5670.5870000000000,34602.36158150850,21745.97898978100,165141.09959172700,Life,Married,27,30,Finance,National Account Head
102,HsjVRxDF,"bKclVqQn St, EzXuJAAdiF, BLR 366336",103784.41,2014-01-21,1984-02-02,40,Other,3,7702.559000000000,24494.130827250600,15393.424899270100,120587.67492798100,Life,Divorced,10,19,Sales,Senior Executive
103,YtQqWmQM,"JVYiZQgW St, CrGQnIocgD, PUN 925197",37518.71,2022-04-28,2001-11-21,22,Other,0,8098.129,8854.780705596100,5564.818884671530,48906.80082092460,Both,Single,2,1,Finance,Account Representative
104,DblnKIdB,"IhBuurpM St, TPUQtYbxVe, PUN 651697",83934.37,2013-08-16,1983-10-17,40,Other,3,5502.563,19809.328199513400,12449.243783941600,96797.01741557180,Both,Married,10,19,Sales,Regional Sales Manager
105,UAuUREok,"cGwTYkJa St, pjCsIejiid, HYD 604650",46612.67,2021-02-11,1995-07-16,29,Other,4,6343.733,11001.043771289500,6913.645652554740,57043.80111873480,Medical,Married,3,8,Human Resources,HR Associate
106,HWyHaYgE,"exXFZKlE St, VpzYpaDvad, DEL 350379",120476.26,2018-08-26,1975-01-20,49,Other,2,7792.374,28433.56987834550,17869.179585401500,138833.02429294400,Both,Widowed,5,28,Human Resources,Recruitment Manager
107,hSZQYOnk,"UqgdFsNX St, KyYcGbpiaI, BLR 886508",138308.14,1987-05-07,1964-03-05,60,Male,1,7892.186000000000,32642.067104622900,20514.024852554700,158328.36825206800,Life,Married,37,39,Marketing,Marketing Director
108,vzYPgXnQ,"WadLQGKx St, HHrYNGRyfM, BLR 821572",33427.85,2023-07-18,2001-07-22,22,Other,0,7023.215,7889.297931873480,4958.057751824820,43382.305180048700,None,Single,1,1,IT,QA Engineer I
109,CzhymJvm,"fztpAvTQ St, WWDGVTWfBZ, HYD 479259",131406.21,2021-10-12,1973-05-05,51,Other,2,11581.379,31013.144452554700,19490.322534306600,154510.41091824800,Both,Divorced,2,30,Marketing,National Marketing Manager
110,oqKYoVkX,"SqBTWKVI St, yotOGMbmLd, AMD 976151",75701.8,2008-06-06,1982-12-24,41,Other,4,8580.82,17866.36155717760,11228.179386861300,90920.8021703163,Medical,Married,16,20,Sales,Senior Executive
111,AbdnQkmi,"FNOOainS St, gYaNfsaSdu, CHN 180406",65118.58,2019-04-23,1995-07-10,29,Female,2,7839.142,15368.618637469600,9658.46383649635,78667.87680097320,Medical,Married,5,8,Human Resources,HR Associate
112,dejNEqLA,"EACCRyyv St, FFJlXmINCs, DEL 822500",76408.83,2019-06-03,1981-06-20,43,Other,2,7096.117000000000,18033.22751824820,11333.04690218980,90205.1276160584,Medical,Married,5,22,Human Resources,Senior HR
113,mxJctiOP,"yLUDzewV St, zKlwAQJPlU, PUN 412675",115139.94,2012-05-16,1970-07-08,54,Other,3,10047.006,27174.14642335770,17077.690370802900,135283.40205255500,Both,Married,12,33,Finance,Account Director
114,VthzMbvC,"WtjooWWl St, MMdHoFmjON, AMD 431698",95873.63,2020-01-18,1989-06-06,35,Female,1,3485.637000000000,22627.109756691000,14220.088770802900,107766.28798588800,Both,Divorced,4,14,Finance,Regional Account Head
115,hWAkAgUc,"kPNiVRDt St, ZBPiPmmbOt, MUB 654230",109133.2,2023-08-18,1982-11-02,41,Female,3,8444.68,25756.497323601000,16186.763678832100,127147.61364476900,Both,Married,0,20,Sales,Senior Executive
116,WkHDrHdz,"PFTaFfIT St, gKxWAEtTxK, AMD 529062",116386.6,1991-01-17,1966-10-11,57,Male,2,6927.340000000000,27468.370316301700,17262.596437956200,133519.7138783460,None,Widowed,33,36,Human Resources,Recruitment Manager
117,WJidoqZi,"FzJleIss St, qUhoabayQK, MUB 259939",99010.26,2018-08-09,1988-12-14,35,Other,4,5107.974,23367.384963503600,14685.317395620400,112800.3015678830,Medical,Married,5,14,Sales,Senior Executive
118,JNzYsXrL,"IMqpQrjB St, wwufFtFCtl, MUB 852477",93945.47,2021-08-10,1989-09-11,34,Male,4,4523.4530000000000,22172.045231143500,13934.101827737200,106706.86640340600,Both,Married,2,13,Sales,Regional Sales Manager
